+EI TIC MRM (** -> **) 20221016 H5 2 MRM22.d  Subtract		
Index	X	Y
604	8.74	104.18
605	8.745	94.91
606	8.749	93.54
607	8.754	102.02
608	8.758	118.51
609	8.763	143.6
610	8.768	178.54
611	8.772	215.76
612	8.777	240.21
613	8.781	238.24
614	8.786	207.56
615	8.79	158.34
616	8.795	103.73
617	8.799	55.79
618	8.804	24.23
619	8.808	9.93
620	8.813	5.86
621	8.817	5.23
622	8.822	5.44
623	8.826	6.16
624	8.831	6.78
625	8.835	6.49
626	8.84	5.09
627	8.845	3.45
628	8.849	2.32
629	8.854	1.65
630	8.858	1.71
631	8.863	3.04
632	8.867	4.48
633	8.872	4.31
634	8.876	2.98
635	8.881	2.58
636	8.885	4.23
637	8.89	6.49
638	8.894	7.46
639	8.899	6.41
640	8.903	3.63
641	8.908	-0.04
642	8.912	-3.82
643	8.917	-7.27
644	8.921	-10.16
645	8.926	-12.5
646	8.931	-14.48
647	8.935	-16.66
648	8.94	-19.58
649	8.944	-23.2
650	8.949	-27.73
651	8.953	-34.63
652	8.958	-44.05
653	8.962	-53.96
654	8.967	-63.27
655	8.971	-72.08
656	8.976	-80.77
657	8.98	-89.42
658	8.985	-96.93
659	8.989	-103.45
660	8.994	-111.84
661	8.998	-122.25
662	9.003	-131.17
663	9.008	-136.38
664	9.012	-136.17
665	9.017	-128.88
666	9.021	-117.67
667	9.026	-107.4
668	9.03	-100.46
669	9.035	-99.96
670	9.039	-106.22
671	9.044	-113.38
672	9.048	-114.38
673	9.053	-468.59
674	9.057	-409.65
675	9.062	-297.4
676	9.066	-119.4
677	9.071	118.9
678	9.075	390.91
679	9.08	654.08
680	9.085	872.37
681	9.089	1022.15
682	9.094	1094.71
683	9.098	1095.37
684	9.103	1051.49
685	9.107	1003.73
686	9.112	977.44
687	9.116	975.79
688	9.121	992.23
689	9.125	1035.13
690	9.13	1143.56
691	9.134	1361.81
692	9.139	1695.75
693	9.143	2071.48
694	9.148	2338.87
695	9.152	2329.98
696	9.157	1951.35
697	9.162	1280.91
698	9.166	533.03
699	9.171	-74.57
700	9.175	-417.84
701	9.18	-500.07
702	9.184	-414.41
703	9.189	-265.39
704	9.193	-129.99
705	9.198	-42.29
706	9.202	2.14
707	9.207	22.7
708	9.211	32.42
709	9.216	39.4
710	9.22	50.57
711	9.225	65.24
712	9.229	77.45
713	9.234	85.22
714	9.238	90.96
715	9.243	98.23
716	9.248	109.35
717	9.252	123.27
718	9.257	137.86
719	9.261	151.18
720	9.266	162.84
721	9.27	175.38
722	9.275	189.59
723	9.279	203.52
724	9.284	216.02
725	9.288	225.59
726	9.293	230.72
727	9.297	223.62
728	9.302	-110.74
729	9.311	-10.31
730	9.32	219.86
731	9.33	469.29
732	9.339	573.72
733	9.348	541.29
734	9.357	500.59
735	9.366	481.96
736	9.375	482.33
737	9.385	574.17
738	9.394	866.6
739	9.403	1285.41
740	9.412	1332.93
741	9.421	849.71
742	9.431	330.6
743	9.44	142.86
744	9.449	97.79
745	9.458	57.59
746	9.467	27.65
747	9.477	21.11
748	9.486	21.86
749	9.495	19.66
750	9.504	13.59
751	9.513	9.77
752	9.523	9.31
753	9.532	9.74
754	9.541	10.37
755	9.55	9.54
756	9.559	8.04
757	9.569	7.63
758	9.578	11.02
759	9.587	9.23
760	9.596	7.32
761	9.605	9.06
762	9.615	15.95
763	9.624	21.71
764	9.633	23.28
765	9.642	19.59
766	9.651	14.13
767	9.661	11.06
768	9.67	11.86
769	9.679	16.01
770	9.688	25.05
771	9.697	35.97
772	9.707	-77.01
773	9.711	-79.3
774	9.716	-83.2
775	9.72	-88.48
776	9.725	-94.91
777	9.729	-100.42
778	9.734	-99.35
779	9.738	-87.89
780	9.743	-67.88
781	9.747	-42.34
782	9.752	-12.11
783	9.756	21.36
784	9.761	54.19
