#"+EI TIC MRM (** -> **) 20230518 Sample data MRM.d "		
#Point	X(Minutes)	Y(Counts)
214	6.974	7.93705034255981
215	6.979	8.33007335662842
216	6.983	9.63074111938477
217	6.988	11.4462156295776
218	6.992	12.3857364654541
219	6.997	11.7221508026123
220	7.001	10.4729013442993
221	7.006	9.75549697875977
222	7.011	9.58887767791748
223	7.015	9.76739597320557
224	7.02	10.3139190673828
225	7.024	11.1701183319092
226	7.029	12.5226230621338
227	7.033	14.9275465011597
228	7.038	18.9280757904053
229	7.042	24.8443202972412
230	7.047	31.3464965820313
231	7.051	35.1304321289063
232	7.056	34.5521621704102
233	7.06	31.3003349304199
234	7.065	27.1549034118652
235	7.069	22.5394668579102
236	7.074	18.0148544311523
237	7.078	14.2344379425049
238	7.083	11.4184970855713
239	7.088	9.72170257568359
240	7.092	8.96279907226563
241	7.097	8.59428310394287
242	7.101	8.44738388061523
243	7.106	8.67923831939697
244	7.11	9.33161544799805
245	7.115	10.6478576660156
246	7.119	13.0133352279663
247	7.124	16.2063255310059
248	7.128	19.511079788208
249	7.133	22.2494068145752
250	7.137	23.8543758392334
251	7.142	24.394380569458
252	7.146	24.3366146087646
253	7.151	23.931957244873
254	7.155	23.8049011230469
255	7.16	25.2481727600098
256	7.164	31.6813812255859
257	7.169	55.7577667236328
258	7.174	134.973449707031
259	7.178	353.057434082031
260	7.183	848.990478515625
261	7.187	1776.57897949219
262	7.192	3182.2705078125
263	7.196	4844.87939453125
264	7.201	6249.39013671875
265	7.205	6831.66943359375
266	7.21	6349.32763671875
267	7.214	5045.52783203125
268	7.219	3458.38061523438
269	7.223	2072.78198242188
270	7.228	1113.9580078125
271	7.232	564.799011230469
272	7.237	295.923706054688
273	7.241	179.022155761719
274	7.246	133.466903686523
275	7.251	122.209335327148
276	7.255	129.77702331543
277	7.26	145.311782836914
278	7.264	159.723892211914
279	7.269	168.950973510742
280	7.273	172.314712524414
281	7.278	168.362564086914
282	7.282	155.392532348633
283	7.287	134.433975219727
284	7.291	109.463714599609
285	7.296	86.4814147949219
286	7.3	71.9693984985352
287	7.305	69.4958724975586
288	7.309	77.0782623291016
289	7.314	87.5379791259766
290	7.318	91.4849090576172
291	7.323	84.3675384521484
292	7.327	68.8705291748047
293	7.332	50.0670890808105
294	7.337	33.0008163452148
295	7.341	21.5487632751465
296	7.346	15.7086753845215
297	7.35	12.9925231933594
298	7.355	11.6355838775635
299	7.359	11.1071100234985
300	7.364	11.2320184707642
301	7.368	11.5102367401123
302	7.373	11.3243865966797
303	7.377	10.7992143630981
304	7.382	10.6235637664795
305	7.386	11.040189743042
306	7.391	11.850733757019
307	7.395	13.0434646606445
308	7.4	14.3291654586792
309	7.404	14.7755031585693
310	7.409	14.0592746734619
311	7.414	13.13991355896
312	7.418	12.7476034164429
313	7.423	12.5670051574707
314	7.427	12.1235256195068
315	7.432	11.2870464324951
316	7.436	10.3238773345947
317	7.441	9.71224594116211
318	7.445	9.56270980834961
319	7.45	9.53669261932373
320	7.454	9.41473007202148
321	7.459	9.26728439331055
322	7.463	9.22739791870117
323	7.468	9.39111328125
324	7.472	9.77931499481201
325	7.477	10.313440322876
326	7.481	10.738956451416
327	7.486	10.9139451980591
328	7.491	11.1394939422607
329	7.495	11.9043369293213
330	7.5	13.8661212921143
331	7.504	18.5279731750488
332	7.509	28.3153896331787
333	7.513	44.9446640014648
334	7.518	68.1523742675781
335	7.522	95.3104705810547
336	7.527	119.701805114746
337	7.531	131.847274780273
338	7.536	126.121597290039
339	7.54	105.100875854492
340	7.545	77.2776641845703
341	7.549	51.4581413269043
342	7.554	32.4825820922852
343	7.558	21.205415725708
344	7.563	15.9493255615234
345	7.567	13.8106365203857
346	7.572	12.6230869293213
347	7.577	11.8827667236328
348	7.581	11.5482559204102
349	7.586	11.3145360946655
350	7.59	11.2472410202026
351	7.595	11.6496000289917
352	7.599	12.4668064117432
353	7.604	13.6664237976074
354	7.608	15.7686462402344
355	7.613	19.5054588317871
356	7.617	24.9747772216797
357	7.622	30.9239196777344
358	7.626	35.1495895385742
359	7.631	35.6231079101563
360	7.635	31.6363182067871
361	7.64	25.0209827423096
362	7.644	18.7170505523682
363	7.649	14.1666240692139
364	7.654	11.2823810577393
365	7.658	9.47165870666504
366	7.663	8.17648506164551
367	7.667	7.28655290603638
368	7.672	7.35640907287598
369	7.676	9.75110530853271
370	7.681	18.2569255828857
371	7.685	43.9232521057129
372	7.69	113.650184631348
373	7.694	277.302551269531
374	7.699	598.252075195313
375	7.703	1115.09191894531
376	7.708	1797.02612304688
377	7.712	2521.79150390625
378	7.717	3090.81005859375
379	7.721	3308.75659179688
380	7.726	3102.71997070313
381	7.731	2564.97290039063
382	7.735	1885.59362792969
383	7.74	1245.341796875
384	7.744	746.786987304688
385	7.749	412.487823486328
386	7.753	218.023468017578
387	7.758	120.693672180176
388	7.762	79.0921020507813
389	7.767	64.1206359863281
390	7.771	60.3199653625488
391	7.776	60.3487014770508
392	7.78	60.0553169250488
393	7.785	57.9702110290527
394	7.789	54.8218040466309
395	7.794	51.512622833252
396	7.798	49.764347076416
397	7.803	52.6126289367676
398	7.807	61.7189064025879
399	7.812	74.9254684448242
400	7.817	87.43701171875
401	7.821	94.6223754882813
402	7.826	93.0427093505859
403	7.83	81.7153015136719
404	7.835	64.085807800293
405	7.839	46.0197677612305
406	7.844	31.8692951202393
407	7.848	22.4338531494141
408	7.853	16.6115283966064
409	7.857	13.3851385116577
410	7.862	11.7699813842773
411	7.866	10.9309015274048
412	7.871	10.7336778640747
413	7.875	11.0761594772339
414	7.88	11.3694019317627
415	7.884	11.2563495635986
416	7.889	10.9249639511108
417	7.894	10.5380945205688
